label,start_range_m,hit,hit_t_s,min_range_m,final_range_m,frames,detected_frames,valid_frames,detected_ratio,valid_ratio,max_load_factor_fd_g,command_load_p95_g,truth_or_guidance_p95_g,los_error_p95_deg,ttc_p50_s,ttc_valid_ratio,avg_sim_sample_fps
L0,100.0,True,14.54731035232544,1.2485686891816947,1.2485686891816947,290,276,276,0.9517241379310345,0.9517241379310345,1.6094596900216096,1.0148414488438717,0.33757729249606433,7.240231730304607,5.5075,0.7862068965517242,19.901618088542406
M,100.0,False,nan,1.149928450895482,136.95178282035133,697,285,279,0.40889526542324245,0.40028694404591103,1.3227180287637266,2.27885536238949,0.3407263446401839,152.76854525381478,nan,0.0,19.917980115709085
M0,100.0,True,13.494287729263306,1.3770626807899575,1.3770626807899575,269,257,257,0.9553903345724907,0.9553903345724907,1.473822875476989,0.6210579549267491,0.32514590354679734,7.440141138962516,nan,0.0,19.897235039851196
N,100.0,True,23.598503351211548,1.3625899980897547,1.3625899980897547,471,466,466,0.9893842887473461,0.9893842887473461,1.2488490722339287,16.295210610050653,3.402016434466465,8.241527293515471,nan,0.0,19.930738850160292
N0,100.0,True,17.17236614227295,1.3945732740849162,1.3945732740849162,343,334,334,0.9737609329446064,0.9737609329446064,1.1479345289419842,10.320496637351217,1.2528278727374789,7.448025988911512,nan,0.0,19.929915597578145
P,100.0,True,25.44354271888733,1.3153765992000712,1.3153765992000712,507,502,502,0.9901380670611439,0.9901380670611439,0.8828791070042825,16.254468900304673,3.3796370928476676,7.727279022707777,nan,0.0,19.913498538960138
P0,100.0,True,19.0354061126709,1.384018793803229,1.384018793803229,380,376,376,0.9894736842105263,0.9894736842105263,1.0011794853716032,9.222270674372222,1.2415180003548671,7.424584897686143,nan,0.0,19.924299419980972
J,110.0,True,15.264325618743896,1.2618308804074305,1.2618308804074305,305,294,294,0.9639344262295082,0.9639344262295082,1.3143228754106997,0.8232873649300986,0.34895001375241463,7.057899461918291,4.528,0.7573770491803279,19.929915400888397
J0,110.0,True,15.402328491210938,1.2668059759891235,1.2668059759891235,307,293,293,0.9543973941368078,0.9543973941368078,1.3347031550648616,0.44456502000211906,0.3299910636249422,7.340595045326248,5.727,0.8241042345276873,19.90129326701145
K,110.0,True,16.518352508544922,1.2235709862224347,1.2235709862224347,330,326,326,0.9878787878787879,0.9878787878787879,1.2700098680269543,11.366000311929223,0.31407859208136496,7.6174532652227755,4.0115,0.7151515151515152,19.93148358926543
K0,110.0,True,15.5043306350708,1.2740273084735938,1.2740273084735938,309,300,300,0.970873786407767,0.970873786407767,1.5188257732099761,1.1563336279766958,0.33257990196061765,7.318434512869922,5.811,0.8155339805825242,19.902119790714963
